Federal subject,City
Republic of Khakassia,Abakan
Republic of Khakassia,Abaza
Orenburg Oblast,Abdulino
Krasnodar Krai,Abinsk
Krasnoyarsk Krai,Achinsk
Republic of Adygea,Adygeysk
Republic of Bashkortostan,Agidel
Republic of Tatarstan,Agryz
Tuva Republic,Ak-Dovurak
Astrakhan Oblast,Akhtubinsk
Rostov Oblast,Aksay
Republic of North Ossetia–Alania,Alagir
Sverdlovsk Oblast,Alapayevsk
Chuvash Republic,Alatyr
Sakha Republic,Aldan
Tula Oblast,Aleksin
Vladimir Oblast,Alexandrov
Perm Krai,Alexandrovsk
Sakhalin Oblast,Alexandrovsk-Sakhalinsky
Belgorod Oblast,Alexeyevka
Altai Krai,Aleysk
Republic of Tatarstan,Almetyevsk
Republic of Crimea,Alupka
Irkutsk Oblast,Alzamay
Khabarovsk Krai,Amursk
Chukotka Autonomous Okrug,Anadyr
Krasnodar Krai,Anapa
Tver Oblast,Andreapol
Irkutsk Oblast,Angarsk
Sakhalin Oblast,Aniva
Kemerovo Oblast,Anzhero-Sudzhensk
Murmansk Oblast,Apatity
Moscow Oblast,Aprelevka
Krasnodar Krai,Apsheronsk
Sverdlovsk Oblast,Aramil
Republic of Mordovia,Ardatov
Republic of North Ossetia–Alania,Ardon
Chechen Republic,Argun
Saratov Oblast,Arkadak
Arkhangelsk Oblast,Arkhangelsk
Krasnodar Krai,Armavir
Republic of Crimea,Armiansk
Primorsky Krai,Arsenyev
Republic of Tatarstan[1],Arsk
Primorsky Krai,Artyom
Krasnoyarsk Krai,Artyomovsk
Sverdlovsk Oblast,Artyomovsky
Nizhny Novgorod Oblast,Arzamas
Sverdlovsk Oblast,Asbest
Chelyabinsk Oblast,Asha
Tomsk Oblast,Asino
Astrakhan Oblast,Astrakhan
Saratov Oblast,Atkarsk
Republic of Tatarstan,Aznakayevo
Rostov Oblast,Azov
Vologda Oblast,Babayevo
Republic of Buryatia,Babushkin
Kaliningrad Oblast,Bagrationovsk
Chelyabinsk Oblast,Bakal
Kabardino-Balkar Republic,Baksan
Kaluga Oblast,Balabanovo
Nizhny Novgorod Oblast,Balakhna
Saratov Oblast,Balakovo
Moscow Oblast,Balashikha
Saratov Oblast,Balashov
Zabaykalsky Krai,Baley
Kaliningrad Oblast,Baltiysk
Novosibirsk Oblast,Barabinsk
Altai Krai,Barnaul
Ulyanovsk Oblast,Barysh
Rostov Oblast,Bataysk
Republic of Tatarstan,Bavly
Irkutsk Oblast,Baykalsk
Republic of Bashkortostan,Baymak
Rostov Oblast,Belaya Kalitva
Kirov Oblast,Belaya Kholunitsa
Republic of Bashkortostan,Belebey
Belgorod Oblast,Belgorod
Penza Oblast,Belinsky
Amur Oblast,Belogorsk
Altai Krai,Belokurikha
Karelia,Belomorsk
Krasnodar Krai,Belorechensk
Republic of Bashkortostan,Beloretsk
Kaluga Oblast,Belousovo
Kemerovo Oblast,Belovo
Khanty-Mansi Autonomous Okrug,Beloyarsky
Vologda Oblast,Belozersk
Tver Oblast,Bely
Tula Oblast,Belyov
Novosibirsk Oblast,Berdsk
Perm Krai,Berezniki
Kemerovo Oblast,Berezovsky
Sverdlovsk Oblast,Berezovsky
Republic of North Ossetia–Alania,Beslan
Tver Oblast,Bezhetsk
Khabarovsk Krai,Bikin
Chukotka Autonomous Okrug,Bilibino
Jewish Autonomous Oblast,Birobidzhan
Republic of Bashkortostan,Birsk
Belgorod Oblast,Biryuch
Irkutsk Oblast,Biryusinsk
Altai Krai,Biysk
Stavropol Krai,Blagodarny
Amur Oblast,Blagoveshchensk
Republic of Bashkortostan,Blagoveshchensk
Voronezh Oblast,Bobrov
Irkutsk Oblast,Bodaybo
Sverdlovsk Oblast,Bogdanovich
Tula Oblast,Bogoroditsk
Nizhny Novgorod Oblast,Bogorodsk
Krasnoyarsk Krai,Bogotol
Voronezh Oblast,Boguchar
Leningrad Oblast,Boksitogorsk
Republic of Tatarstan,Bolgar
Oryol Oblast,Bolkhov
Tver Oblast,Bologoye
Tula Oblast,Bolokhovo
Novosibirsk Oblast,Bolotnoye
Primorsky Krai,Bolshoy Kamen
Nizhny Novgorod Oblast,Bor
Voronezh Oblast,Borisoglebsk
Krasnoyarsk Krai,Borodino
Novgorod Oblast,Borovichi
Kaluga Oblast,Borovsk
Zabaykalsky Krai,Borzya
Irkutsk Oblast,Bratsk
Moscow Oblast,Bronnitsy
Bryansk Oblast,Bryansk
Stavropol Krai,Budyonnovsk
Republic of Tatarstan,Bugulma
Orenburg Oblast,Buguruslan
Republic of Tatarstan,Buinsk
Voronezh Oblast,Buturlinovka
Kostroma Oblast,Buy
Dagestan,Buynaksk
Orenburg Oblast,Buzuluk
Tuva Republic,Chadan
Samara Oblast,Chapayevsk
Lipetsk Oblast,Chaplygin
Perm Krai,Chaykovsky
Chelyabinsk Oblast,Chebarkul
Chuvash Republic,Cheboksary
Kabardino-Balkar Republic,Chegem
Tula Oblast,Chekalin
Moscow Oblast,Chekhov
Chelyabinsk Oblast,Chelyabinsk
Perm Krai,Cherdyn
Irkutsk Oblast,Cheremkhovo
Novosibirsk Oblast,Cherepanovo
Vologda Oblast,Cherepovets
Karachay-Cherkessia,Cherkessk
Moscow Oblast,Chernogolovka
Republic of Khakassia,Chernogorsk
Perm Krai,Chernushka
Kaliningrad Oblast,Chernyakhovsk
Republic of Tatarstan,Chistopol
Zabaykalsky Krai,Chita
Nizhny Novgorod Oblast,Chkalovsk
Novgorod Oblast,Chudovo
Kostroma Oblast,Chukhloma
Novosibirsk Oblast,Chulym
Perm Krai,Chusovoy
Perm Krai,Chyormoz
Dagestan,Dagestanskiye Ogni
Kurgan Oblast,Dalmatovo
Primorsky Krai,Dalnegorsk
Primorsky Krai,Dalnerechensk
Yaroslavl Oblast,Danilov
Lipetsk Oblast,Dankov
Republic of Bashkortostan,Davlekanovo
Moscow Oblast,Dedovsk
Sverdlovsk Oblast,Degtyarsk
Smolensk Oblast,Demidov
Dagestan,Derbent
Smolensk Oblast,Desnogorsk
Republic of North Ossetia–Alania,Digora
Ulyanovsk Oblast,Dimitrovgrad
Krasnoyarsk Krai,Divnogorsk
Kursk Oblast,Dmitriyev
Moscow Oblast,Dmitrov
Oryol Oblast,Dmitrovsk
Pskov Oblast,Dno
Perm Krai,Dobryanka
Moscow Oblast,Dolgoprudny
Sakhalin Oblast,Dolinsk
Moscow Oblast,Domodedovo
Rostov Oblast,Donetsk
Tula Oblast,Donskoy
Smolensk Oblast,Dorogobuzh
Moscow Oblast,Drezna
Moscow Oblast,Dubna
Volgograd Oblast,Dubovka
Krasnoyarsk Krai,Dudinka
Smolensk Oblast,Dukhovshchina
Bryansk Oblast,Dyatkovo
Republic of Bashkortostan,Dyurtyuli
Nizhny Novgorod Oblast,Dzerzhinsk
Moscow Oblast,Dzerzhinsky
Moscow Oblast,Elektrogorsk
Moscow Oblast,Elektrostal
Moscow Oblast,Elektrougli
Kalmykia,Elista
Saratov Oblast,Engels
Voronezh Oblast,Ertil
Kursk Oblast,Fatezh
Bryansk Oblast,Fokino
Primorsky Krai,Fokino
Volgograd Oblast,Frolovo
Moscow Oblast,Fryazino
Ivanovo Oblast,Furmanov
Murmansk Oblast,Gadzhiyevo
Smolensk Oblast,Gagarin
Kostroma Oblast,Galich
Leningrad Oblast,Gatchina
Ivanovo Oblast,Gavrilov Posad
Yaroslavl Oblast,Gavrilov-Yam
Orenburg Oblast,Gay
Pskov Oblast,Gdov
Krasnodar Krai,Gelendzhik
Stavropol Krai,Georgiyevsk
Udmurtia,Glazov
Moscow Oblast,Golitsyno
Nizhny Novgorod Oblast,Gorbatov
Altai Republic,Gorno-Altaysk
Perm Krai,Gornozavodsk
Altai Krai,Gornyak
Nizhny Novgorod Oblast,Gorodets
Penza Oblast,Gorodishche
Kalmykia,Gorodovikovsk
Vladimir Oblast,Gorokhovets
Krasnodar Krai,Goryachy Klyuch
Belgorod Oblast,Grayvoron
Perm Krai,Gremyachinsk
Chechen Republic,Grozny
Lipetsk Oblast,Gryazi
Vologda Oblast,Gryazovets
Perm Krai,Gubakha
Belgorod Oblast,Gubkin
Yamalo-Nenets Autonomous Okrug,Gubkinsky
Chechen Republic,Gudermes
Rostov Oblast,Gukovo
Krasnodar Krai,Gulkevichi
Kaliningrad Oblast,Guryevsk
Kemerovo Oblast,Guryevsk
Vladimir Oblast,Gus-Khrustalny
Kaliningrad Oblast,Gusev
Republic of Buryatia,Gusinoozyorsk
Kaliningrad Oblast,Gvardeysk
Krasnoyarsk Krai,Igarka
Krasnoyarsk Krai,Ilansky
Republic of Tatarstan,Innopolis
Republic of Mordovia,Insar
Komi Republic,Inta
Ulyanovsk Oblast,Inza
Stavropol Krai,Ipatovo
Sverdlovsk Oblast,Irbit
Irkutsk Oblast,Irkutsk
Tyumen Oblast,Ishim
Republic of Bashkortostan,Ishimbay
Omsk Oblast,Isilkul
Novosibirsk Oblast,Iskitim
Moscow Oblast,Istra
Leningrad Oblast,Ivangorod
Ivanovo Oblast,Ivanovo
Moscow Oblast,Ivanteyevka
Sverdlovsk Oblast,Ivdel
Dagestan,Izberbash
Udmurtia,Izhevsk
Stavropol Krai,Izobilny
Sverdlovsk Oblast,Kachkanar
Vologda Oblast,Kadnikov
Voronezh Oblast,Kalach
Volgograd Oblast,Kalach-na-Donu
Omsk Oblast,Kalachinsk
Kaliningrad Oblast,Kaliningrad
Saratov Oblast,Kalininsk
Kemerovo Oblast,Kaltan
Kaluga Oblast,Kaluga
Tver Oblast,Kalyazin
Udmurtia,Kambarka
Penza Oblast,Kamenka
Altai Krai,Kamen-na-Obi
Leningrad Oblast,Kamennogorsk
